Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Junior Adamu,23.0,Austria,Forward,Freiburg,Bundesliga,25,2,2
Karim Adeyemi,22.0,Germany,"Forward, Midfielder",Dortmund,Bundesliga,25,7,6
Amine Adli,24.0,Morocco,"Midfielder, Forward",Leverkusen,Bundesliga,20,2,0
Oladapo Afolayan,26.0,England,"Forward, Midfielder",St. Pauli,Bundesliga,32,3,1
Felix Agu,24.0,Nigeria,Defender,Werder Bremen,Bundesliga,22,3,0
Erik Ahlstrand,22.0,Sweden,"Forward, Midfielder",St. Pauli,Bundesliga,5,0,0
Kevin Akpoguma,29.0,Nigeria,Defender,Hoffenheim,Bundesliga,32,0,0
Andreas Albers,34.0,Denmark,Forward,St. Pauli,Bundesliga,14,1,0
Ben Alexander Voll,23.0,Germany,Goalkeeper,St. Pauli,Bundesliga,2,0,0
Skelly Alvero,22.0,France,Midfielder,Werder Bremen,Bundesliga,12,0,0
Aurele Amenda,21.0,Switzerland,Defender,Eint Frankfurt,Bundesliga,8,0,0
Nadiem Amiri,27.0,Germany,Midfielder,Mainz 05,Bundesliga,30,7,5
Mohamed Amoura,24.0,Algeria,Forward,Wolfsburg,Bundesliga,31,10,9
Robert Andrich,29.0,Germany,"Midfielder, Defender",Leverkusen,Bundesliga,23,2,2
Waldemar Anton,28.0,Germany,Defender,Dortmund,Bundesliga,26,2,2
Maximilian Arnold,30.0,Germany,Midfielder,Wolfsburg,Bundesliga,28,3,5
Jann-Fiete Arp,24.0,Germany,"Forward, Midfielder",Holstein Kiel,Bundesliga,23,2,0
Arthur,21.0,Brazil,Defender,Leverkusen,Bundesliga,20,0,1
Noah Atubolu,22.0,Germany,Goalkeeper,Freiburg,Bundesliga,26,0,0
Ayman Azhil,23.0,Morocco,Midfielder,Dortmund,Bundesliga,1,0,0
Adam Aznou,18.0,Morocco,Defender,Bayern Munich,Bundesliga,2,0,0
Aliou Badara Baldé,21.0,Guinea,"Midfielder, Forward",Bochum,Bundesliga,5,0,0
Ridle Baku,26.0,Germany,"Defender, Midfielder",RB Leipzig,Bundesliga,19,2,3
Samuel Bamba,20.0,Germany,"Forward, Midfielder",Bochum,Bundesliga,5,0,0
Noahkai Banks,17.0,United States,Defender,Augsburg,Bundesliga,8,0,0
Scott Banks,22.0,Scotland,"Forward, Midfielder",St. Pauli,Bundesliga,12,0,0
Aymen Barkok,26.0,Morocco,Midfielder,Mainz 05,Bundesliga,4,0,0
Michy Batshuayi,30.0,Belgium,Forward,Eint Frankfurt,Bundesliga,10,3,0
Maximilian Bauer,24.0,Germany,Defender,Augsburg,Bundesliga,11,0,0
Oliver Baumann,34.0,Germany,Goalkeeper,Hoffenheim,Bundesliga,28,0,0
Christoph Baumgartner,24.0,Austria,Midfielder,RB Leipzig,Bundesliga,31,2,1
Ihlas Bebou,30.0,Togo,Midfielder,Hoffenheim,Bundesliga,1,0,0
Adrian Beck,27.0,Germany,"Midfielder, Forward",Heidenheim,Bundesliga,32,4,1
Timo Becker,27.0,Germany,Defender,Holstein Kiel,Bundesliga,30,0,2
Kevin Behrens,33.0,Germany,Forward,Wolfsburg,Bundesliga,18,1,0
Maximilian Beier,21.0,Germany,"Forward, Midfielder",Dortmund,Bundesliga,29,8,5
Stefan Bell,32.0,Germany,Defender,Mainz 05,Bundesliga,18,0,1
Jeanuël Belocian,19.0,France,"Defender, Midfielder",Leverkusen,Bundesliga,5,0,0
László Bénes,26.0,Slovakia,"Midfielder, Forward",Union Berlin,Bundesliga,23,2,1
Ramy Bensebaini,29.0,Algeria,Defender,Dortmund,Bundesliga,31,1,6
Mergim Berisha,26.0,Germany,Forward,Augsburg,Bundesliga,2,0,0
Bernardo,29.0,Brazil,Defender,Bochum,Bundesliga,21,0,0
Alexander Bernhardsson,25.0,Sweden,"Forward, Midfielder",Holstein Kiel,Bundesliga,19,7,2
Matúš Bero,28.0,Slovakia,Midfielder,Bochum,Bundesliga,30,5,2
Jan-Niklas Beste,25.0,Germany,"Forward, Midfielder",Freiburg,Bundesliga,12,0,1
El Bilal Touré,22.0,Mali,"Forward, Midfielder",Stuttgart,Bundesliga,12,2,1
Tom Bischof,19.0,Germany,"Midfielder, Forward",Hoffenheim,Bundesliga,31,5,2
Leonardo Bittencourt,30.0,Germany,Midfielder,Werder Bremen,Bundesliga,27,2,1
Myron Boadu,23.0,Netherlands,Forward,Bochum,Bundesliga,19,9,1
Sacha Boey,23.0,France,Defender,Bayern Munich,Bundesliga,13,0,2
Victor Boniface,23.0,Nigeria,Forward,Leverkusen,Bundesliga,19,8,1
Sebastiaan Bornauw,25.0,Belgium,Defender,Wolfsburg,Bundesliga,15,2,1
Carlo Boukhalfa,25.0,Morocco,Midfielder,St. Pauli,Bundesliga,25,2,0
Julian Brandt,28.0,Germany,Midfielder,Dortmund,Bundesliga,30,5,10
Tim Breithaupt,22.0,Germany,Midfielder,Augsburg,Bundesliga,2,0,1
Maximilian Breunig,23.0,Germany,"Forward, Midfielder",Heidenheim,Bundesliga,13,2,0
Moritz Broschinski,23.0,Germany,"Forward, Midfielder",Bochum,Bundesliga,33,1,3
Nathaniel Brown,21.0,Germany,"Defender, Midfielder",Eint Frankfurt,Bundesliga,26,3,6
Jacob Bruun Larsen,25.0,Denmark,"Midfielder, Forward",Stuttgart,Bundesliga,15,1,0
Emi Buendía,27.0,Argentina,Midfielder,Leverkusen,Bundesliga,11,2,0
Marius Bülter,31.0,Germany,"Forward, Defender",Hoffenheim,Bundesliga,25,7,2
Jonathan Burkardt,24.0,Germany,Forward,Mainz 05,Bundesliga,29,18,2
Oliver Burke,27.0,Scotland,Forward,Werder Bremen,Bundesliga,25,5,0
Marnon Busch,29.0,Germany,"Defender, Midfielder",Heidenheim,Bundesliga,23,0,1
Anthony Caci,27.0,France,Defender,Mainz 05,Bundesliga,33,1,7
Cole Campbell,18.0,United States,"Midfielder, Forward",Dortmund,Bundesliga,4,0,0
Emre Can,30.0,Germany,"Defender, Midfielder",Dortmund,Bundesliga,31,3,0
Tiago Cardoso,18.0,Luxembourg,Goalkeeper,Gladbach,Bundesliga,5,0,0
Abdoulie Ceesay,20.0,Gambia,Forward,St. Pauli,Bundesliga,7,0,0
Julian Chabot,26.0,Germany,Defender,Stuttgart,Bundesliga,31,3,1
El Chadaille Bitshiabu,19.0,France,Defender,RB Leipzig,Bundesliga,21,0,0
Fares Chaïbi,21.0,Algeria,"Midfielder, Forward",Eint Frankfurt,Bundesliga,26,1,3
Timothy Chandler,34.0,United States,Defender,Eint Frankfurt,Bundesliga,3,0,0
Anrie Chase,20.0,Japan,Defender,Stuttgart,Bundesliga,12,0,0
Arthur Chaves,23.0,Brazil,Defender,Hoffenheim,Bundesliga,26,1,0
Fabio Chiarodia,19.0,Italy,Defender,Gladbach,Bundesliga,16,1,0
Carney Chukwuemeka,20.0,England,Midfielder,Dortmund,Bundesliga,10,1,0
Alexis Claude-Maurice,26.0,France,"Midfielder, Forward",Augsburg,Bundesliga,28,9,2
Nnamdi Collins,20.0,Germany,Defender,Eint Frankfurt,Bundesliga,24,1,1
Kingsley Coman,28.0,France,Forward,Bayern Munich,Bundesliga,28,5,4
Sirlord Conteh,28.0,Germany,"Forward, Midfielder",Heidenheim,Bundesliga,29,1,1
Danny da Costa,31.0,Germany,Defender,Mainz 05,Bundesliga,25,0,1
Yan Couto,22.0,Brazil,"Defender, Forward",Dortmund,Bundesliga,21,0,0
Tomáš Čvančara,23.0,Czechia,Forward,Gladbach,Bundesliga,28,2,0
Finn Dahmen,26.0,Germany,Goalkeeper,Augsburg,Bundesliga,19,0,0
Thomas Dähne,30.0,Germany,Goalkeeper,Holstein Kiel,Bundesliga,9,0,0
