Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Max Aarons,24.0,England,"Defender, Midfielder",Valencia,La Liga,4,0,0
Rodrigo Abajas,21.0,Spain,Defender,Valencia,La Liga,1,0,0
Abel,23.0,Spain,Defender,Osasuna,La Liga,35,2,0
Nabil Aberdin,21.0,France,Midfielder,Getafe,La Liga,7,0,0
Abdel Abqar,25.0,Morocco,Defender,Alavés,La Liga,29,0,1
Adrián,37.0,Spain,Goalkeeper,Betis,La Liga,19,0,0
Julen Agirrezabala,23.0,Spain,Goalkeeper,Athletic Club,La Liga,14,0,0
Lucien Agoume,22.0,France,Midfielder,Sevilla,La Liga,35,1,3
Álvaro Aguado,28.0,Spain,Midfielder,Espanyol,La Liga,16,0,1
Lorenzo Aguado,21.0,Spain,Defender,Real Madrid,La Liga,2,0,0
Nayef Aguerd,28.0,Morocco,Defender,Real Sociedad,La Liga,21,0,0
Joseph Aidoo,28.0,Ghana,Defender,Celta Vigo,La Liga,1,0,0
Ilias Akhomach,20.0,Morocco,"Midfielder, Forward",Villarreal,La Liga,11,1,0
David Alaba,32.0,Austria,Defender,Real Madrid,La Liga,7,0,0
Ibrahim Alani,18.0,Nigeria,Midfielder,Valladolid,La Liga,3,0,0
Raúl Albiol,38.0,Spain,Defender,Villarreal,La Liga,15,0,0
Omar Alderete,27.0,Paraguay,Defender,Getafe,La Liga,34,1,0
Carles Aleñá,26.0,Spain,"Midfielder, Forward",Alavés,La Liga,14,0,2
Alfon,25.0,Spain,"Forward, Midfielder",Celta Vigo,La Liga,26,5,2
Tadeo Allende,25.0,Argentina,Forward,Celta Vigo,La Liga,1,0,0
Domingos André Ribeiro Almeida,24.0,Portugal,"Midfielder, Forward",Valencia,La Liga,34,0,4
Iker Almena,20.0,Spain,"Forward, Defender",Girona,La Liga,2,0,1
Marcos Alonso,33.0,Spain,Defender,Celta Vigo,La Liga,31,3,0
Adrià Altimira,23.0,Spain,"Defender, Forward",Leganés,La Liga,22,0,0
Sergi Altimira,22.0,Spain,Midfielder,Betis,La Liga,32,0,1
Hugo Álvarez,21.0,Spain,"Midfielder, Defender",Celta Vigo,La Liga,26,4,3
