Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Keyliane Abdallah,18.0,France,Forward,Marseille,Ligue 1,1,0,0
Yunis Abdelhamid,36.0,Morocco,Defender,Saint-Étienne,Ligue 1,16,0,0
Himad Abdelli,24.0,Algeria,"Midfielder, Forward",Angers,Ligue 1,32,6,1
Mohamed Abdelmoneim,25.0,Egypt,Defender,Nice,Ligue 1,12,0,0
Ali Abdi,30.0,Tunisia,"Defender, Midfielder",Nice,Ligue 1,25,5,2
Matthis Abline,21.0,France,Forward,Nantes,Ligue 1,34,9,2
Abner,24.0,Brazil,Defender,Lyon,Ligue 1,19,1,1
Zakaria Aboukhlal,24.0,Morocco,"Midfielder, Forward",Toulouse,Ligue 1,26,7,2
Akor Adams,24.0,Nigeria,Forward,Montpellier,Ligue 1,15,3,1
Martin Adeline,20.0,France,Midfielder,Reims,Ligue 1,1,0,0
Adryelson,26.0,Brazil,Defender,Lyon,Ligue 1,1,0,0
Emmanuel Agbadou,27.0,Côte d'Ivoire,Defender,Reims,Ligue 1,14,0,0
Jeremy Agbonifo,18.0,Sweden,"Forward, Midfielder",Lens,Ligue 1,8,1,0
Ruben Aguilar,31.0,France,"Defender, Midfielder",Lens,Ligue 1,16,1,2
Naouirou Ahamada,22.0,France,"Midfielder, Forward",Rennes,Ligue 1,3,0,0
Jean-Eudes Aholou,30.0,Côte d'Ivoire,Midfielder,Angers,Ligue 1,26,2,0
Ayman Aiki,19.0,France,"Forward, Midfielder",Saint-Étienne,Ligue 1,5,0,0
Ludovic Ajorque,30.0,France,Forward,Brest,Ligue 1,31,13,2
Ümit Akdag,20.0,Romania,Defender,Toulouse,Ligue 1,9,0,0
Sergio Akieme,26.0,Spain,Defender,Reims,Ligue 1,30,2,3
Maghnes Akliouche,22.0,France,"Forward, Midfielder",Monaco,Ligue 1,32,5,10
Paul Akouokou,26.0,Côte d'Ivoire,Midfielder,Lyon,Ligue 1,2,0,0
Clément Akpa,22.0,Côte d'Ivoire,Defender,Auxerre,Ligue 1,31,0,1
Chuba Akpom,28.0,England,Forward,Lille,Ligue 1,14,3,1
Mohamed Ali Cho,20.0,France,"Forward, Midfielder",Nice,Ligue 1,27,3,4
Jim Allevinah,29.0,Gabon,Forward,Angers,Ligue 1,28,1,3
Thiago Almada,23.0,Argentina,"Midfielder, Forward",Lyon,Ligue 1,16,1,4
Jordan Amavi,30.0,France,Defender,Brest,Ligue 1,11,0,0
Kelvin Amian,26.0,France,Defender,Nantes,Ligue 1,30,1,0
Michael Amir Murillo,28.0,Panama,Defender,Marseille,Ligue 1,30,1,3
Samuel Amo-Ameyaw,18.0,England,"Defender, Midfielder",Strasbourg,Ligue 1,9,2,0
Mathis Amougou,18.0,France,Midfielder,Saint-Étienne,Ligue 1,17,0,0
Benjamin André,33.0,France,Midfielder,Lille,Ligue 1,30,0,3
Kyllian Antonio,16.0,France,"Defender, Midfielder",Lens,Ligue 1,3,0,0
Dennis Appiah,32.0,France,Defender,Saint-Étienne,Ligue 1,29,0,1
