Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Max Aarons,24.0,England,"Defender, Midfielder",Valencia,La Liga,4,0,0
Rodrigo Abajas,21.0,Spain,Defender,Valencia,La Liga,1,0,0
James Abankwah,20.0,Ireland,"Defender, Midfielder",Udinese,Serie A,6,0,0
Keyliane Abdallah,18.0,France,Forward,Marseille,Ligue 1,1,0,0
Yunis Abdelhamid,36.0,Morocco,Defender,Saint-Étienne,Ligue 1,16,0,0
Himad Abdelli,24.0,Algeria,"Midfielder, Forward",Angers,Ligue 1,32,6,1
Mohamed Abdelmoneim,25.0,Egypt,Defender,Nice,Ligue 1,12,0,0
Ali Abdi,30.0,Tunisia,"Defender, Midfielder",Nice,Ligue 1,25,5,2
Saud Abdulhamid,25.0,Saudi Arabia,Defender,Roma,Serie A,4,0,1
Abel,23.0,Spain,Defender,Osasuna,La Liga,35,2,0
Nabil Aberdin,21.0,France,Midfielder,Getafe,La Liga,7,0,0
Oliver Abildgaard,28.0,Denmark,Midfielder,Como,Serie A,1,0,0
Matthis Abline,21.0,France,Forward,Nantes,Ligue 1,34,9,2
Abner,24.0,Brazil,Defender,Lyon,Ligue 1,19,1,1
Zakaria Aboukhlal,24.0,Morocco,"Midfielder, Forward",Toulouse,Ligue 1,26,7,2
Abdel Abqar,25.0,Morocco,Defender,Alavés,La Liga,29,0,1
Tammy Abraham,26.0,England,Forward,Milan,Serie A,28,3,4
Federico Accornero,20.0,Italy,Midfielder,Genoa,Serie A,1,0,0
Francesco Acerbi,36.0,Italy,Defender,Inter,Serie A,23,0,1
Joshua Acheampong,18.0,England,Defender,Chelsea,Premier League,4,0,0
Akor Adams,24.0,Nigeria,Forward,Montpellier,Ligue 1,15,3,1
Che Adams,28.0,Scotland,Forward,Torino,Serie A,36,9,3
Tyler Adams,25.0,United States,Midfielder,Bournemouth,Premier League,28,0,3
Junior Adamu,23.0,Austria,Forward,Freiburg,Bundesliga,25,2,2
Tosin Adarabioyo,26.0,England,Defender,Chelsea,Premier League,22,1,1
Martin Adeline,20.0,France,Midfielder,Reims,Ligue 1,1,0,0
