Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Joshua Acheampong,18.0,England,Defender,Chelsea,Premier League,4,0,0
Tyler Adams,25.0,United States,Midfielder,Bournemouth,Premier League,28,0,3
Tosin Adarabioyo,26.0,England,Defender,Chelsea,Premier League,22,1,1
Simon Adingra,22.0,Côte d'Ivoire,"Forward, Midfielder",Brighton,Premier League,29,2,2
Asher Agbinone,18.0,England,Midfielder,Crystal Palace,Premier League,2,0,0
Ola Aina,27.0,Nigeria,Defender,Nott'ham Forest,Premier League,35,2,1
Rayan Aït-Nouri,23.0,Algeria,Defender,Wolves,Premier League,37,4,7
Kristoffer Ajer,26.0,Norway,Defender,Brentford,Premier League,24,0,0
Manuel Akanji,29.0,Switzerland,Defender,Manchester City,Premier League,26,0,0
Nathan Aké,29.0,Netherlands,Defender,Manchester City,Premier League,10,0,0
Carlos Alcaraz,21.0,Argentina,"Forward, Midfielder",Everton,Premier League,15,2,3
Trent Alexander-Arnold,25.0,England,Defender,Liverpool,Premier League,33,3,6
Alisson,31.0,Brazil,Goalkeeper,Liverpool,Premier League,28,0,0
Miguel Almirón,30.0,Paraguay,Forward,Newcastle Utd,Premier League,9,0,0
Edson Álvarez,26.0,Mexico,Midfielder,West Ham,Premier League,28,0,1
Will Alves,19.0,England,Forward,Leicester City,Premier League,1,0,0
Harry Amass,17.0,England,Defender,Manchester Utd,Premier League,5,0,0
Joachim Andersen,28.0,Denmark,Defender,Fulham,Premier League,29,0,0
Elliot Anderson,21.0,England,Midfielder,Nott'ham Forest,Premier League,37,2,6
André,23.0,Brazil,Midfielder,Wolves,Premier League,33,0,0
Michail Antonio,34.0,Jamaica,Forward,West Ham,Premier League,14,1,1
Julian Araujo,22.0,Mexico,Defender,Bournemouth,Premier League,12,0,0
Cameron Archer,23.0,England,Forward,Southampton,Premier League,35,2,0
Alphonse Areola,31.0,France,Goalkeeper,West Ham,Premier League,26,0,0
Joe Aribo,28.0,Nigeria,"Midfielder, Defender",Southampton,Premier League,32,3,0
Adam Armstrong,27.0,England,"Forward, Midfielder",Southampton,Premier League,20,2,2
Harrison Armstrong,17.0,England,Midfielder,Everton,Premier League,3,0,0
Kepa Arrizabalaga,29.0,Spain,Goalkeeper,Bournemouth,Premier League,31,0,0
Brandon Austin,25.0,England,Goalkeeper,Tottenham,Premier League,1,0,0
Taiwo Awoniyi,26.0,Nigeria,Forward,Nott'ham Forest,Premier League,26,1,0
Yasin Ayari,20.0,Sweden,Midfielder,Brighton,Premier League,34,2,1
Jordan Ayew,32.0,Ghana,"Forward, Midfielder",Leicester City,Premier League,30,5,0
Benoît Badiashile,23.0,France,Defender,Chelsea,Premier League,5,0,0
Leon Bailey,26.0,Jamaica,"Forward, Midfielder",Aston Villa,Premier League,24,1,2
Carlos Baleba,20.0,Cameroon,Midfielder,Brighton,Premier League,34,3,1
Ross Barkley,30.0,England,Midfielder,Aston Villa,Premier League,20,3,1
Harvey Barnes,26.0,England,Forward,Newcastle Utd,Premier League,33,9,4
Calvin Bassey,24.0,Nigeria,Defender,Fulham,Premier League,35,1,0
Altay Bayındır,26.0,Türkiye,Goalkeeper,Manchester Utd,Premier League,4,0,0
Jan Bednarek,28.0,Poland,Defender,Southampton,Premier League,30,2,0
Armel Bella Kotchap,22.0,Germany,Defender,Southampton,Premier League,4,0,0
Jean-Ricner Bellegarde,26.0,France,"Midfielder, Forward",Wolves,Premier League,35,2,7
Rodrigo Bentancur,27.0,Uruguay,Midfielder,Tottenham,Premier League,26,2,0
Daniel Bentley,31.0,England,Goalkeeper,Wolves,Premier League,2,0,0
Sander Berge,26.0,Norway,Midfielder,Fulham,Premier League,31,0,0
Lucas Bergvall,18.0,Sweden,Midfielder,Tottenham,Premier League,27,0,1
Victor Bernth Kristiansen,21.0,Denmark,Defender,Leicester City,Premier League,30,0,1
Beto,26.0,Guinea-Bissau,Forward,Everton,Premier League,30,8,0
Yves Bissouma,27.0,Mali,Midfielder,Tottenham,Premier League,28,2,0
Oscar Bobb,21.0,Norway,Forward,Manchester City,Premier League,3,0,0
Lamare Bogarde,20.0,Netherlands,"Defender, Midfielder",Aston Villa,Premier League,8,0,0
Willy Boly,33.0,Côte d'Ivoire,Defender,Nott'ham Forest,Premier League,6,0,0
Sven Botman,24.0,Netherlands,Defender,Newcastle Utd,Premier League,8,0,0
Jarrod Bowen,27.0,England,"Forward, Midfielder",West Ham,Premier League,34,13,8
Conor Bradley,21.0,Northern Ireland,Defender,Liverpool,Premier League,19,0,2
Jarrad Branthwaite,22.0,England,Defender,Everton,Premier League,30,0,1
James Bree,26.0,England,Defender,Southampton,Premier League,17,0,1
Ben Brereton,25.0,Chile,Forward,Southampton,Premier League,10,0,0
Nathan Broadhead,26.0,Wales,"Midfielder, Forward",Ipswich Town,Premier League,18,2,0
Armando Broja,22.0,Albania,Forward,Everton,Premier League,10,0,0
David Brooks,27.0,Wales,"Forward, Midfielder",Bournemouth,Premier League,29,2,0
Santiago Bueno,25.0,Uruguay,Defender,Wolves,Premier League,29,0,0
Facundo Buonanotte,19.0,Argentina,"Forward, Midfielder",Leicester City,Premier League,31,5,2
Cameron Burgess,28.0,Australia,Defender,Ipswich Town,Premier League,18,0,2
Dan Burn,32.0,England,Defender,Newcastle Utd,Premier League,37,1,1
Wes Burns,29.0,Wales,"Forward, Defender",Ipswich Town,Premier League,18,0,1
Nathan Butler-Oyedeji,21.0,England,Forward,Arsenal,Premier League,1,0,0
Moisés Caicedo,22.0,Ecuador,"Midfielder, Defender",Chelsea,Premier League,38,1,2
Tom Cairney,33.0,Scotland,Midfielder,Fulham,Premier League,25,2,0
Jens Cajuste,24.0,Sweden,Midfielder,Ipswich Town,Premier League,30,1,1
