Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
James Abankwah,20.0,Ireland,"Defender, Midfielder",Udinese,Serie A,6,0,0
Saud Abdulhamid,25.0,Saudi Arabia,Defender,Roma,Serie A,4,0,1
Oliver Abildgaard,28.0,Denmark,Midfielder,Como,Serie A,1,0,0
Tammy Abraham,26.0,England,Forward,Milan,Serie A,28,3,4
Federico Accornero,20.0,Italy,Midfielder,Genoa,Serie A,1,0,0
Francesco Acerbi,36.0,Italy,Defender,Inter,Serie A,23,0,1
Che Adams,28.0,Scotland,Forward,Torino,Serie A,36,9,3
Yacine Adli,24.0,France,Midfielder,Fiorentina,Serie A,26,4,6
Vasilije Adžić,18.0,Montenegro,"Midfielder, Forward",Juventus,Serie A,6,0,0
Michel Aebischer,27.0,Switzerland,Midfielder,Bologna,Serie A,14,0,0
Honest Ahanor,16.0,Italy,"Defender, Midfielder",Genoa,Serie A,6,0,0
Junior Ajayi,19.0,Côte d'Ivoire,Forward,Hellas Verona,Serie A,2,0,0
Jean-Daniel Akpa-Akpro,31.0,Côte d'Ivoire,Midfielder,Monza,Serie A,14,0,0
David Akpan Ankeye,22.0,Nigeria,"Forward, Midfielder",Genoa,Serie A,4,0,0
Faride Alidou,23.0,Germany,"Forward, Midfielder",Hellas Verona,Serie A,3,0,0
Dele Alli,28.0,England,Midfielder,Como,Serie A,1,0,0
Pontus Almqvist,25.0,Sweden,"Forward, Midfielder",Parma,Serie A,29,1,1
Giorgio Altare,25.0,Italy,Defender,Venezia,Serie A,12,0,0
Sofyan Amrabat,27.0,Morocco,Midfielder,Fiorentina,Serie A,2,0,0
Angeliño,27.0,Spain,Defender,Roma,Serie A,38,2,1
Lorenzo Anghelè,19.0,Italy,Forward,Juventus,Serie A,1,0,0
Faustino Anjorin,22.0,England,Midfielder,Empoli,Serie A,22,2,3
Marko Arnautović,35.0,Austria,Forward,Inter,Serie A,18,4,2
Kristjan Asllani,22.0,Albania,Midfielder,Inter,Serie A,22,2,2
Arthur Atta,21.0,France,"Midfielder, Forward",Udinese,Serie A,27,0,1
Emil Audero,27.0,Indonesia,Goalkeeper,Como,Serie A,8,0,0
Tommaso Augello,29.0,Italy,Defender,Cagliari,Serie A,38,0,7
Carlos Augusto,25.0,Brazil,Defender,Inter,Serie A,29,3,2
Yann Aurel Bisseck,23.0,Germany,Defender,Inter,Serie A,27,3,2
Paulo Azzi,30.0,Brazil,Defender,Cagliari,Serie A,6,0,0
Oussama El Azzouzi,23.0,Morocco,Midfielder,Bologna,Serie A,2,0,0
Jacopo Bacci,19.0,Italy,Midfielder,Empoli,Serie A,3,0,0
Milan Badelj,35.0,Croatia,Midfielder,Genoa,Serie A,23,1,0
Tommaso Baldanzi,21.0,Italy,"Midfielder, Forward",Roma,Serie A,31,1,1
Keita Baldé,29.0,Senegal,Forward,Monza,Serie A,11,2,0
Botond Balogh,22.0,Hungary,Defender,Parma,Serie A,29,0,1
Mario Balotelli,33.0,Italy,"Forward, Midfielder",Genoa,Serie A,6,0,0
Lameck Banda,23.0,Zambia,"Forward, Midfielder",Lecce,Serie A,15,0,1
Daniel Bandeira,24.0,Portugal,Midfielder,Hellas Verona,Serie A,11,0,0
Mattia Bani,30.0,Italy,Defender,Genoa,Serie A,20,0,0
Antonín Barák,29.0,Czechia,Midfielder,Fiorentina,Serie A,1,0,0
Federico Barba,30.0,Italy,Defender,Como,Serie A,7,0,0
Nicolò Barella,27.0,Italy,Midfielder,Inter,Serie A,33,3,6
Davide Bartesaghi,18.0,Italy,Defender,Milan,Serie A,4,0,0
Federico Baschirotto,27.0,Italy,Defender,Lecce,Serie A,38,2,0
Daniele Baselli,32.0,Italy,Midfielder,Como,Serie A,2,0,0
Alessandro Bastoni,25.0,Italy,Defender,Inter,Serie A,33,1,5
Reda Belahyane,20.0,Morocco,Midfielder,Lazio,Serie A,6,0,0
Raoul Bellanova,24.0,Italy,Defender,Atalanta,Serie A,34,0,9
