Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Max Aarons,24.0,eng ENG,DF,Bournemouth,eng Premier League,3,0,0
Max Aarons,24.0,eng ENG,"DF,MF",Valencia,es La Liga,4,0,0
Rodrigo Abajas,21.0,es ESP,DF,Valencia,es La Liga,1,0,0
James Abankwah,20.0,ie IRL,"DF,MF",Udinese,it Serie A,6,0,0
Keyliane Abdallah,18.0,fr FRA,FW,Marseille,fr Ligue 1,1,0,0
Yunis Abdelhamid,36.0,ma MAR,DF,Saint-Étienne,fr Ligue 1,16,0,0
Himad Abdelli,24.0,dz ALG,"MF,FW",Angers,fr Ligue 1,32,6,1
Mohamed Abdelmoneim,25.0,eg EGY,DF,Nice,fr Ligue 1,12,0,0
Ali Abdi,30.0,tn TUN,"DF,MF",Nice,fr Ligue 1,25,5,2
Saud Abdulhamid,25.0,sa KSA,DF,Roma,it Serie A,4,0,1
Abel,23.0,es ESP,DF,Osasuna,es La Liga,35,2,0
Nabil Aberdin,21.0,fr FRA,MF,Getafe,es La Liga,7,0,0
Oliver Abildgaard,28.0,dk DEN,MF,Como,it Serie A,1,0,0
Matthis Abline,21.0,fr FRA,FW,Nantes,fr Ligue 1,34,9,2
Abner,24.0,br BRA,DF,Lyon,fr Ligue 1,19,1,1
Zakaria Aboukhlal,24.0,ma MAR,"MF,FW",Toulouse,fr Ligue 1,26,7,2
Abdel Abqar,25.0,ma MAR,DF,Alavés,es La Liga,29,0,1
Tammy Abraham,26.0,eng ENG,FW,Roma,it Serie A,1,0,0
Tammy Abraham,26.0,eng ENG,FW,Milan,it Serie A,28,3,4
Federico Accornero,20.0,it ITA,MF,Genoa,it Serie A,1,0,0
Francesco Acerbi,36.0,it ITA,DF,Inter,it Serie A,23,0,1
Joshua Acheampong,18.0,eng ENG,DF,Chelsea,eng Premier League,4,0,0
Akor Adams,24.0,ng NGA,FW,Sevilla,es La Liga,4,0,0
Akor Adams,24.0,ng NGA,FW,Montpellier,fr Ligue 1,15,3,1
Che Adams,28.0,sct SCO,FW,Torino,it Serie A,36,9,3
Tyler Adams,25.0,us USA,MF,Bournemouth,eng Premier League,28,0,3
Junior Adamu,23.0,at AUT,FW,Freiburg,de Bundesliga,25,2,2
Tosin Adarabioyo,26.0,eng ENG,DF,Chelsea,eng Premier League,22,1,1
Martin Adeline,20.0,fr FRA,MF,Reims,fr Ligue 1,1,0,0
Karim Adeyemi,22.0,de GER,"FW,MF",Dortmund,de Bundesliga,25,7,6
Simon Adingra,22.0,ci CIV,"FW,MF",Brighton,eng Premier League,29,2,2
Amine Adli,24.0,ma MAR,"MF,FW",Leverkusen,de Bundesliga,20,2,0
Yacine Adli,24.0,fr FRA,MF,Fiorentina,it Serie A,26,4,6
Adrián,37.0,es ESP,GK,Betis,es La Liga,19,0,0
Adryelson,26.0,br BRA,DF,Lyon,fr Ligue 1,1,0,0
Vasilije Adžić,18.0,me MNE,"MF,FW",Juventus,it Serie A,6,0,0
Michel Aebischer,27.0,ch SUI,MF,Bologna,it Serie A,14,0,0
Oladapo Afolayan,26.0,eng ENG,"FW,MF",St. Pauli,de Bundesliga,32,3,1
Emmanuel Agbadou,27.0,ci CIV,DF,Wolves,eng Premier League,16,1,0
Emmanuel Agbadou,27.0,ci CIV,DF,Reims,fr Ligue 1,14,0,0
Asher Agbinone,18.0,eng ENG,MF,Crystal Palace,eng Premier League,2,0,0
Jeremy Agbonifo,18.0,se SWE,"FW,MF",Lens,fr Ligue 1,8,1,0
Julen Agirrezabala,23.0,es ESP,GK,Athletic Club,es La Liga,14,0,0
Lucien Agoume,22.0,fr FRA,MF,Sevilla,es La Liga,35,1,3
Felix Agu,24.0,ng NGA,DF,Werder Bremen,de Bundesliga,22,3,0
Álvaro Aguado,28.0,es ESP,MF,Espanyol,es La Liga,16,0,1
Lorenzo Aguado,21.0,es ESP,DF,Real Madrid,es La Liga,2,0,0
Nayef Aguerd,28.0,ma MAR,DF,Real Sociedad,es La Liga,21,0,0
Ruben Aguilar,31.0,fr FRA,"DF,MF",Lens,fr Ligue 1,16,1,2
Naouirou Ahamada,22.0,fr FRA,"MF,FW",Rennes,fr Ligue 1,3,0,0
Honest Ahanor,16.0,it ITA,"DF,MF",Genoa,it Serie A,6,0,0
Erik Ahlstrand,22.0,se SWE,"FW,MF",St. Pauli,de Bundesliga,5,0,0
Jean-Eudes Aholou,30.0,ci CIV,MF,Angers,fr Ligue 1,26,2,0
Joseph Aidoo,28.0,gh GHA,DF,Valladolid,es La Liga,8,0,0
Joseph Aidoo,28.0,gh GHA,DF,Celta Vigo,es La Liga,1,0,0
Ayman Aiki,19.0,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,5,0,0
Ola Aina,27.0,ng NGA,DF,Nott'ham Forest,eng Premier League,35,2,1
Rayan Aït-Nouri,23.0,dz ALG,DF,Wolves,eng Premier League,37,4,7
Junior Ajayi,19.0,ci CIV,FW,Hellas Verona,it Serie A,2,0,0
Kristoffer Ajer,26.0,no NOR,DF,Brentford,eng Premier League,24,0,0
Ludovic Ajorque,30.0,fr FRA,FW,Brest,fr Ligue 1,31,13,2
Manuel Akanji,29.0,ch SUI,DF,Manchester City,eng Premier League,26,0,0
