Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Max Aarons,24.0,eng ENG,"Defender, Midfielder",Valencia,es La Liga,4,0,0
Rodrigo Abajas,21.0,es ESP,Defender,Valencia,es La Liga,1,0,0
James Abankwah,20.0,ie IRL,"Defender, Midfielder",Udinese,it Serie A,6,0,0
Keyliane Abdallah,18.0,fr FRA,Forward,Marseille,fr Ligue 1,1,0,0
Yunis Abdelhamid,36.0,ma MAR,Defender,Saint-Étienne,fr Ligue 1,16,0,0
Himad Abdelli,24.0,dz ALG,"Midfielder, Forward",Angers,fr Ligue 1,32,6,1
Mohamed Abdelmoneim,25.0,eg EGY,Defender,Nice,fr Ligue 1,12,0,0
Ali Abdi,30.0,tn TUN,"Defender, Midfielder",Nice,fr Ligue 1,25,5,2
Saud Abdulhamid,25.0,sa KSA,Defender,Roma,it Serie A,4,0,1
Abel,23.0,es ESP,Defender,Osasuna,es La Liga,35,2,0
Nabil Aberdin,21.0,fr FRA,Midfielder,Getafe,es La Liga,7,0,0
Oliver Abildgaard,28.0,dk DEN,Midfielder,Como,it Serie A,1,0,0
Matthis Abline,21.0,fr FRA,Forward,Nantes,fr Ligue 1,34,9,2
Abner,24.0,br BRA,Defender,Lyon,fr Ligue 1,19,1,1
Zakaria Aboukhlal,24.0,ma MAR,"Midfielder, Forward",Toulouse,fr Ligue 1,26,7,2
Abdel Abqar,25.0,ma MAR,Defender,Alavés,es La Liga,29,0,1
Tammy Abraham,26.0,eng ENG,Forward,Milan,it Serie A,28,3,4
Federico Accornero,20.0,it ITA,Midfielder,Genoa,it Serie A,1,0,0
Francesco Acerbi,36.0,it ITA,Defender,Inter,it Serie A,23,0,1
Joshua Acheampong,18.0,eng ENG,Defender,Chelsea,eng Premier League,4,0,0
Akor Adams,24.0,ng NGA,Forward,Montpellier,fr Ligue 1,15,3,1
Che Adams,28.0,sct SCO,Forward,Torino,it Serie A,36,9,3
Tyler Adams,25.0,us USA,Midfielder,Bournemouth,eng Premier League,28,0,3
Junior Adamu,23.0,at AUT,Forward,Freiburg,de Bundesliga,25,2,2
Tosin Adarabioyo,26.0,eng ENG,Defender,Chelsea,eng Premier League,22,1,1
Martin Adeline,20.0,fr FRA,Midfielder,Reims,fr Ligue 1,1,0,0
Karim Adeyemi,22.0,de GER,"Forward, Midfielder",Dortmund,de Bundesliga,25,7,6
Simon Adingra,22.0,ci CIV,"Forward, Midfielder",Brighton,eng Premier League,29,2,2
Amine Adli,24.0,ma MAR,"Midfielder, Forward",Leverkusen,de Bundesliga,20,2,0
Yacine Adli,24.0,fr FRA,Midfielder,Fiorentina,it Serie A,26,4,6
Adrián,37.0,es ESP,Goalkeeper,Betis,es La Liga,19,0,0
Adryelson,26.0,br BRA,Defender,Lyon,fr Ligue 1,1,0,0
Vasilije Adžić,18.0,me MNE,"Midfielder, Forward",Juventus,it Serie A,6,0,0
Michel Aebischer,27.0,ch SUI,Midfielder,Bologna,it Serie A,14,0,0
Oladapo Afolayan,26.0,eng ENG,"Forward, Midfielder",St. Pauli,de Bundesliga,32,3,1
Emmanuel Agbadou,27.0,ci CIV,Defender,Reims,fr Ligue 1,14,0,0
Asher Agbinone,18.0,eng ENG,Midfielder,Crystal Palace,eng Premier League,2,0,0
Jeremy Agbonifo,18.0,se SWE,"Forward, Midfielder",Lens,fr Ligue 1,8,1,0
Julen Agirrezabala,23.0,es ESP,Goalkeeper,Athletic Club,es La Liga,14,0,0
Lucien Agoume,22.0,fr FRA,Midfielder,Sevilla,es La Liga,35,1,3
Felix Agu,24.0,ng NGA,Defender,Werder Bremen,de Bundesliga,22,3,0
Álvaro Aguado,28.0,es ESP,Midfielder,Espanyol,es La Liga,16,0,1
Lorenzo Aguado,21.0,es ESP,Defender,Real Madrid,es La Liga,2,0,0
Nayef Aguerd,28.0,ma MAR,Defender,Real Sociedad,es La Liga,21,0,0
